date,INDPRO,RECESSION
07/01/2019,102.0057,0
08/01/2019,102.7814,0
09/01/2019,102.4601,0
10/01/2019,101.5878,0
11/01/2019,102.1494,0
12/01/2019,101.9421,0
01/01/2020,101.3372,0
02/01/2020,101.6718,0
03/01/2020,97.606,1
04/01/2020,84.6812,1
05/01/2020,86.0108,0
06/01/2020,91.6745,0
07/01/2020,95.0037,0
08/01/2020,95.9294,0
09/01/2020,95.8914,0
10/01/2020,96.5256,0
11/01/2020,96.9529,0
12/01/2020,98.2039,0
01/01/2021,98.8135,0
02/01/2021,95.5072,0
03/01/2021,98.1929,0
04/01/2021,98.3317,0
05/01/2021,99.1867,0
06/01/2021,99.6483,0
07/01/2021,100.0668,0
08/01/2021,100.0412,0
09/01/2021,98.9955,0
10/01/2021,100.3542,0
11/01/2021,101.2684,0
12/01/2021,101.1948,0
01/01/2022,101.2146,0
02/01/2022,101.8458,0
03/01/2022,102.6732,0
04/01/2022,102.9024,0
05/01/2022,102.9659,0
06/01/2022,102.8224,0
07/01/2022,103.0505,0
08/01/2022,103.1703,0
09/01/2022,103.5326,0
10/01/2022,103.4442,0
11/01/2022,103.1058,0
12/01/2022,101.8266,0
01/01/2023,102.7476,0
02/01/2023,102.8003,0
03/01/2023,102.8143,0
04/01/2023,103.2241,0
05/01/2023,102.9809,0
06/01/2023,102.3809,0
07/01/2023,103.0722,0
08/01/2023,103.0951,0
09/01/2023,103.3081,0
10/01/2023,102.5781,0
11/01/2023,102.8868,0
12/01/2023,102.6309,0
01/01/2024,101.483,0
02/01/2024,102.7267,0
03/01/2024,102.5186,0
04/01/2024,102.3568,0
05/01/2024,102.9797,0
06/01/2024,103.2534,0
07/01/2024,102.534,0
08/01/2024,103.0831,0
09/01/2024,102.5283,0
10/01/2024,102.1123,0
11/01/2024,101.9621,0
